MAG0,DATETIME,LAT,LON,DEPTH
0.7,2023/07/21 19:13:29,38.835N,122.809W,1.63
0.7,2023/07/21 18:51:50,37.613N,122.460W,7.06
0.4,2023/07/21 18:50:42,37.504N,118.825W,4.53
0.9,2023/07/21 18:38:53,39.167N,119.602W,4.1
0.5,2023/07/21 16:42:03,38.780N,122.763W,-0.03
1.3,2023/07/21 16:25:29,36.893N,121.575W,5.42
0.5,2023/07/21 16:22:50,33.688N,116.712W,16.35
1.6,2023/07/21 15:48:03,36.127N,115.132W,13.0
1.5,2023/07/21 15:41:49,34.176N,117.667W,11.51
0.6,2023/07/21 15:32:39,33.544N,116.409W,8.71
0.7,2023/07/21 15:21:48,33.592N,116.738W,13.98
1.7,2023/07/21 15:20:03,36.930N,121.672W,9.24
0.8,2023/07/21 14:40:50,38.818N,122.818W,1.31
0.4,2023/07/21 14:37:56,38.860N,122.811W,0.4
0.8,2023/07/21 14:18:41,39.347N,120.013W,8.3
0.6,2023/07/21 14:12:09,39.353N,119.992W,7.5
2.6,2023/07/21 14:07:57,39.349N,119.999W,7.3
1.0,2023/07/21 13:57:34,33.675N,116.778W,15.19
0.7,2023/07/21 13:54:17,38.797N,122.801W,4.49
0.8,2023/07/21 13:53:25,33.670N,116.776W,14.51
0.3,2023/07/21 13:53:08,33.672N,116.775W,15.42
1.9,2023/07/21 13:44:43,40.219N,121.154W,7.37
1.1,2023/07/21 13:40:47,34.098N,117.300W,15.21
1.0,2023/07/21 13:10:05,33.495N,116.766W,7.82
1.9,2023/07/21 13:10:03,34.769N,118.918W,12.68
-0.4,2023/07/21 12:31:31,36.766N,116.031W,2.0
0.9,2023/07/21 12:24:49,33.873N,117.503W,-0.53
2.8,2023/07/21 11:59:02,40.405N,124.784W,19.21
0.7,2023/07/21 11:39:23,38.841N,122.811W,2.14
0.3,2023/07/21 11:34:25,37.687N,118.846W,3.69
0.6,2023/07/21 11:31:51,38.837N,122.803W,2.18
1.0,2023/07/21 11:16:02,34.180N,117.926W,-0.87
0.6,2023/07/21 11:10:34,32.908N,116.193W,14.35
0.5,2023/07/21 11:03:08,38.836N,122.794W,1.9
1.5,2023/07/21 11:00:19,33.847N,117.497W,2.4
1.2,2023/07/21 10:33:45,33.167N,115.632W,2.28
2.1,2023/07/21 10:25:10,37.001N,119.819W,-0.62
1.8,2023/07/21 10:23:14,36.483N,121.061W,7.41
1.6,2023/07/21 10:08:43,37.455N,118.739W,3.73
1.1,2023/07/21 10:07:36,38.833N,122.810W,2.03
1.5,2023/07/21 09:58:38,39.166N,119.631W,1.5
1.2,2023/07/21 09:49:25,36.643N,121.149W,11.61
0.3,2023/07/21 09:48:48,33.654N,116.717W,14.73
0.7,2023/07/21 09:48:22,38.794N,122.748W,1.72
2.2,2023/07/21 09:47:45,36.633N,121.196W,10.07
0.7,2023/07/21 09:21:55,38.836N,122.803W,2.14
0.7,2023/07/21 09:07:47,38.848N,122.817W,1.83
0.7,2023/07/21 08:46:31,33.240N,116.296W,5.31
2.1,2023/07/21 08:43:48,40.224N,121.172W,3.46
0.7,2023/07/21 08:42:36,37.772N,122.040W,1.14
0.4,2023/07/21 08:28:15,38.833N,122.810W,1.85
0.7,2023/07/21 08:12:22,38.826N,122.802W,2.27
1.4,2023/07/21 08:12:14,38.781N,122.745W,0.22
0.9,2023/07/21 07:49:22,32.775N,116.256W,14.12
1.0,2023/07/21 07:44:51,37.453N,118.738W,1.92
2.0,2023/07/21 07:35:42,36.252N,120.819W,7.39
0.5,2023/07/21 07:01:56,33.097N,116.636W,14.69
1.6,2023/07/21 06:45:02,37.498N,118.828W,4.42
1.2,2023/07/21 06:44:04,34.004N,117.574W,3.49
0.8,2023/07/21 06:41:47,38.780N,122.755W,0.8
1.2,2023/07/21 06:10:28,38.781N,122.746W,0.25
1.3,2023/07/21 05:52:44,38.079N,118.164W,4.6
0.9,2023/07/21 05:26:45,35.747N,118.018W,4.25
1.9,2023/07/21 05:15:48,35.793N,121.373W,5.06
0.4,2023/07/21 04:49:00,33.356N,116.376W,13.82
1.1,2023/07/21 04:40:57,38.802N,122.777W,3.4
0.6,2023/07/21 04:11:46,38.841N,122.826W,2.09
0.8,2023/07/21 03:46:38,33.996N,116.738W,16.46
0.2,2023/07/21 03:46:09,33.459N,116.579W,9.12
0.3,2023/07/21 02:19:21,33.675N,116.770W,10.97
0.3,2023/07/21 02:06:22,38.789N,122.757W,3.59
0.9,2023/07/21 02:06:09,33.674N,116.712W,17.29
1.9,2023/07/21 01:33:06,37.316N,114.644W,1.0
1.5,2023/07/21 00:54:39,33.381N,116.895W,13.52
0.8,2023/07/21 00:38:00,39.172N,119.603W,5.6
0.8,2023/07/21 00:36:06,34.462N,117.948W,8.78
1.7,2023/07/21 00:27:44,32.771N,115.436W,15.26
1.4,2023/07/21 00:27:39,32.765N,115.427W,12.75
2.2,2023/07/21 00:23:50,32.770N,115.441W,15.93
-0.4,2023/07/21 00:03:46,36.883N,115.978W,7.0
2.2,2023/07/20 23:24:34,38.466N,119.517W,5.44
0.7,2023/07/20 23:20:08,33.054N,116.396W,14.78
1.6,2023/07/20 22:36:44,38.798N,122.751W,1.68
1.4,2023/07/20 22:11:45,38.741N,122.724W,1.17
